Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","T2 [°C]","Motherboard [°C]","Temp3 [°C]","Temp4 [°C]","Temp5 [°C]","Temp6 [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVCC [V]","3VCC [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","VIN5 [V]","VCCSA [V]","CPU VCCIO [V]","VIN3 [V]","VIN7 [V]","Chassis1 [RPM]","CPU [RPM]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Memory Controller Utilization [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","GPU VRM Temperature1 [°C]","GPU VRM Temperature2 [°C]","GPU VRM Voltage Out (VOUT/VID) [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VRM Current In (IIN) [A]","GPU VRM Current Out (IOUT) [A]","GPU VRM Power Out (POUT) [W]","GPU VRM Power In (PIN) [W]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
20.2.2017,17:31:28.024,9488,9249,50.6,4922,11383,30.1,0.0,1.083,1.075,1.069,1.090,3290.3,3290.3,3290.3,3290.3,99.7,3290.3,997.1,61.7,64.7,73.5,61.7,73.5,65.4,100.0,33,33,33,33,33,38,40,33,33,62,60,67,67,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,40,42,25.708,22.109,1.688,64.4,65.1,64.3,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,41,1.136,5.080,3.408,3.360,11.904,0.168,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,732,888,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.1,0.3,0.4,0.025,0.111,2976,343,100.0,9.7,100.0,17.878,0.154,9222,0,0.0,0.0,0.0,0.000,0.000,0,0,63,1.206,1220,112.922,136.212,86.234,1338.0,2000.0,100.0,100.0,4.0,36.0,2975,305,8.0,0,60.0,26.0,1.204,11.938,5.344,43.000,35.063,79.750,0,0,34,2,1042.731,19.325,0,
20.2.2017,17:31:28.615,9495,9242,50.6,4931,11374,30.2,0.0,1.160,1.140,1.083,1.103,3291.1,3291.1,3291.1,3291.1,99.7,3490.6,997.3,73.3,76.6,76.6,73.3,76.6,74.9,100.0,33,33,33,33,35,37,39,33,33,63,61,67,67,39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,39,42,27.572,23.894,1.922,74.6,74.7,73.5,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,41,1.104,5.080,3.408,3.360,11.904,0.160,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,732,888,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.4,0.1,0.5,0.123,0.300,2976,343,100.0,0.5,100.0,10.799,0.107,9227,0,0.0,0.0,0.0,0.000,0.000,0,0,63,1.219,1223,20.109,24.508,81.633,1338.0,2000.0,100.0,100.0,70.0,36.0,2975,305,8.0,0,60.0,26.0,1.216,12.000,5.344,48.500,35.063,79.750,0,0,35,2,1139.111,25.463,0,
20.2.2017,17:31:29.130,9567,9170,51.0,4962,11343,30.4,0.0,1.099,1.102,1.135,1.070,3292.7,3292.7,3292.7,3292.7,99.8,3292.7,997.8,76.3,92.1,78.9,84.2,92.1,82.9,100.0,33,33,33,33,33,37,42,34,34,63,58,66,66,42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,41,42,28.412,24.732,2.052,80.6,83.2,81.8,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.3,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,45,41,1.104,5.080,3.408,3.360,12.096,0.168,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,721,894,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.8,2.4,3.2,0.282,0.861,2977,344,100.0,13.8,100.0,35.220,0.007,9246,0,0.0,0.0,0.0,0.000,0.000,0,0,63,1.206,1239,105.187,126.882,85.840,1338.0,2000.0,100.0,96.3,23.0,36.0,2979,305,8.0,0,60.0,26.0,1.216,11.969,3.188,77.250,54.125,77.000,0,0,35,2,1236.324,24.868,0,
20.2.2017,17:31:29.613,9565,9172,51.0,4998,11307,30.6,0.0,1.090,1.094,1.094,1.142,3289.5,3289.5,3289.5,3289.5,99.7,3289.5,996.8,72.7,87.8,90.9,87.8,90.9,84.8,100.0,33,33,33,33,33,37,39,35,33,63,61,65,67,39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,39,42,28.550,24.879,2.014,79.9,79.5,79.0,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.3,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,45,42,1.088,5.080,3.408,3.360,11.904,0.160,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,721,894,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.2,0.4,0.6,0.041,0.226,2977,344,100.0,100.0,100.0,85.447,0.008,9286,0,0.0,0.0,0.0,0.000,0.000,0,0,63,1.200,1251,116.016,139.219,86.445,1338.0,2000.0,100.0,100.0,78.0,36.0,2979,305,8.0,0,60.0,26.0,1.211,12.063,5.063,48.500,54.125,60.750,0,0,36,2,1015.934,18.936,0,
20.2.2017,17:31:30.186,9593,9144,51.1,5030,11275,30.8,0.0,1.081,1.107,1.140,1.119,3293.6,3293.6,3293.6,3293.6,99.8,3293.6,998.1,64.5,70.9,67.7,64.5,70.9,66.9,100.0,33,33,33,33,33,36,39,35,33,64,61,65,67,39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,39,41,27.331,23.606,1.987,74.1,72.9,73.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.6,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,42,1.104,5.120,3.408,3.344,12.000,0.160,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,733,887,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.0,0.5,0.5,0.000,0.224,2977,344,100.0,100.0,100.0,67.257,0.024,9319,0,0.0,0.0,0.0,0.000,0.000,0,0,64,1.200,1258,83.531,100.238,84.949,1338.0,2000.0,100.0,100.0,0.0,36.0,2975,305,8.0,0,61.0,26.0,1.203,12.063,5.906,23.500,54.125,66.750,0,0,36,2,878.690,18.362,0,
20.2.2017,17:31:30.701,9715,9022,51.8,5075,11230,31.1,0.0,1.085,1.125,1.109,1.086,3289.5,3289.5,3289.5,3289.5,99.7,3289.5,996.8,72.9,83.7,81.0,78.3,83.7,79.0,100.0,33,33,33,33,33,36,37,34,33,64,63,66,67,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,38,42,25.840,22.182,1.893,66.8,64.9,66.6,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.3,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,40,1.104,5.080,3.408,3.360,12.000,0.160,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,733,887,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.0,0.3,0.4,0.014,0.376,2977,344,100.0,0.4,100.0,80.644,0.021,9363,0,0.0,0.0,0.0,0.000,0.000,0,0,64,1.200,1262,100.547,120.656,86.773,1338.0,2000.0,100.0,75.5,1.0,36.0,2986,305,8.0,0,61.0,26.0,1.203,-0.032,5.219,23.500,54.125,0.539,0,0,37,2,467.834,11.049,0,
20.2.2017,17:31:31.180,9712,9025,51.8,5132,11173,31.4,0.0,1.159,1.135,1.072,1.090,3290.3,3290.3,3290.3,3290.3,99.7,3489.7,997.1,63.6,51.5,57.5,72.7,72.7,61.3,100.0,33,33,33,33,35,37,38,33,36,63,62,67,64,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,38,41,25.939,22.305,1.694,64.7,61.8,62.8,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,40,1.120,5.080,3.408,3.360,12.000,0.168,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,730,900,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.1,0.3,0.4,0.025,0.226,2977,344,100.0,0.0,100.0,99.988,0.000,9409,0,0.0,0.0,0.0,0.000,0.000,0,0,64,1.212,1266,20.109,24.383,88.344,1338.0,2000.0,100.0,80.2,70.0,36.0,2982,305,8.0,0,61.0,26.0,1.200,12.031,2.781,21.500,54.125,60.000,0,0,37,2,71.041,4.581,0,
20.2.2017,17:31:31.639,9716,9021,51.8,5133,11172,31.4,0.0,1.140,1.120,1.125,1.150,3292.7,3292.7,3392.5,3292.7,99.8,3492.3,997.8,56.6,66.6,50.0,60.0,66.6,58.3,100.0,33,33,34,33,35,37,38,34,32,63,62,66,68,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,39,42,25.321,21.703,1.677,61.0,61.5,58.2,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1064.3,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,40,1.120,5.080,3.408,3.360,12.000,0.168,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,710,900,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.1,0.8,0.9,0.017,1.088,2977,345,100.0,0.0,100.0,27.095,0.000,9421,0,0.0,0.0,0.0,0.000,0.000,0,0,64,1.219,1269,21.656,26.394,89.367,1338.0,2000.0,100.0,96.1,56.0,36.0,2982,305,8.0,0,61.0,26.0,1.200,-0.500,2.781,21.500,54.125,50.750,0,0,37,2,145.153,5.390,0,
20.2.2017,17:31:32.093,9717,9020,51.8,5138,11167,31.5,0.0,1.115,1.112,1.109,1.100,3291.1,3291.1,3291.1,3291.1,99.7,3390.9,997.3,43.3,40.0,53.3,46.6,53.3,45.8,100.0,33,33,33,33,34,37,39,34,31,63,61,66,69,39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,39,41,23.370,19.780,1.494,54.1,50.0,53.7,52.3,0.0,1.9,0.0,2.4,0.0,10.0,0.0,33.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,41,1.120,5.080,3.408,3.360,12.000,0.168,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,710,885,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.0,0.6,0.7,0.008,0.458,2977,345,100.0,0.0,100.0,20.472,0.000,9430,0,0.0,0.0,0.0,0.000,0.000,0,0,64,1.200,1278,120.656,144.787,86.289,1338.0,2000.0,100.0,63.5,1.0,37.0,2982,305,8.0,0,61.0,26.0,1.206,-0.500,6.313,42.500,34.500,27.563,0,0,37,2,148.336,5.976,0,
20.2.2017,17:31:32.600,9721,9016,51.8,5163,11142,31.6,0.0,1.127,1.126,1.116,1.130,3291.1,3291.1,3291.1,3291.1,99.7,3390.9,997.3,37.9,62.0,55.1,48.2,62.0,50.8,100.0,33,33,33,33,34,36,38,34,31,64,62,66,69,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,38,41,23.701,20.125,1.465,46.6,60.7,54.0,53.6,9.5,0.0,0.0,0.0,10.2,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,35,109,106,103,114,44,41,1.104,5.080,3.408,3.360,12.000,0.168,0.832,3.408,3.216,0.984,0.160,0.136,0.152,0.136,0.144,725,885,34,34,No,No,47,100.0,No,No,2599,5268,35,No,No,0.3,0.4,0.7,0.160,0.538,2977,345,100.0,0.0,100.0,26.295,0.000,9443,0,0.0,0.0,0.0,0.000,0.000,0,0,63,1.200,1292,120.656,144.787,85.867,1338.0,2000.0,100.0,73.6,1.0,37.0,2982,305,8.0,0,61.0,24.0,1.206,11.938,6.313,41.500,34.500,27.563,0,0,37,2,68.811,5.219,0,
