Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","T2 [°C]","Motherboard [°C]","Temp3 [°C]","Temp4 [°C]","Temp5 [°C]","Temp6 [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVCC [V]","3VCC [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","VIN5 [V]","VCCSA [V]","CPU VCCIO [V]","VIN3 [V]","VIN7 [V]","Chassis1 [RPM]","CPU [RPM]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Memory Controller Utilization [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","GPU VRM Temperature1 [°C]","GPU VRM Temperature2 [°C]","GPU VRM Voltage Out (VOUT/VID) [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VRM Current In (IIN) [A]","GPU VRM Current Out (IOUT) [A]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU VRM Power In (PIN) [W]","GPU VRM Power Out (POUT) [W]",
20.2.2017,17:49:33.588,7729,11009,41.2,6092,10213,37.3,0.0,1.127,1.123,1.120,1.123,3288.7,3288.7,3288.7,3288.7,99.7,3288.7,996.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,49,36,37,55,51,64,63,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,49,47,45.454,40.757,4.190,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.120,5.080,3.408,3.360,11.808,0.168,0.848,3.408,3.216,0.984,0.168,0.144,0.152,0.136,0.152,753,928,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.0,0.0,0.0,0.000,0.073,4109,467,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2150,92.812,97.453,114.125,1160.0,2000.0,100.0,100.0,60.0,52.0,563,78,8.0,0,71.0,26.0,1.048,11.938,6.625,55.000,0,0,26,2,0.711,0.800,0,78.250,60.688,
20.2.2017,17:49:34.022,7725,11012,41.2,6092,10213,37.3,0.0,1.113,1.108,1.139,1.127,3294.4,3294.4,3294.4,3294.4,99.8,3294.4,998.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,47,36,37,55,53,64,63,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,48,46,42.986,38.517,3.809,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.136,5.040,3.408,3.344,11.904,0.168,0.848,3.408,3.216,0.976,0.168,0.144,0.152,0.136,0.152,753,928,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.1,0.1,0.3,0.035,0.175,4109,467,0.0,0.4,0.4,0.000,0.176,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2150,86.625,90.956,114.551,1160.0,2000.0,93.0,100.0,71.0,52.0,559,78,8.0,0,71.0,26.0,1.048,11.938,6.781,53.500,0,0,26,2,2.231,3.156,0,78.250,60.688,
20.2.2017,17:49:34.470,7725,11012,41.2,6092,10213,37.3,0.0,1.110,1.114,1.103,1.115,3293.6,3293.6,3293.6,3293.6,99.8,3293.6,998.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,44,48,37,37,56,52,63,63,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,47,47,44.888,40.268,4.089,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.6,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.168,0.144,0.152,0.136,0.152,750,932,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.0,5.7,5.7,0.009,0.937,4109,468,0.0,0.1,0.1,0.000,0.009,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2146,92.812,97.453,114.504,1160.0,2000.0,100.0,100.0,76.0,52.0,559,78,8.0,0,71.0,26.0,1.048,11.938,6.781,53.500,0,0,26,2,2.884,3.242,0,78.250,57.125,
20.2.2017,17:49:34.908,7724,11013,41.2,6085,10220,37.3,0.0,1.135,1.117,1.111,1.113,3291.1,3291.1,3291.1,3291.1,99.7,3291.1,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,49,36,37,55,51,64,63,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,48,47,44.404,39.788,4.031,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.976,0.168,0.144,0.152,0.136,0.152,750,932,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.5,0.1,0.6,0.122,0.482,4109,468,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.119,2146,100.547,112.487,114.711,1225.0,2000.0,100.0,100.0,80.0,52.0,563,78,8.0,0,71.0,26.0,1.049,11.969,6.281,58.000,0,0,26,2,11.239,2.152,0,78.250,57.625,
20.2.2017,17:49:35.351,7725,11012,41.2,6085,10221,37.3,0.0,1.109,1.128,1.119,1.125,3293.6,3293.6,3293.6,3293.6,99.8,3293.6,998.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,44,48,37,38,56,52,63,62,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,49,47,45.191,40.544,4.138,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.6,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.136,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.976,0.168,0.144,0.152,0.136,0.152,755,923,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.0,0.3,0.3,0.000,0.101,4109,468,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.025,2146,86.625,88.791,110.703,1077.0,2000.0,93.0,100.0,69.0,52.0,563,78,8.0,0,71.0,26.0,1.176,11.938,7.500,61.000,0,0,26,2,11.578,2.769,0,78.250,69.000,
20.2.2017,17:49:35.786,7723,11014,41.2,6084,10221,37.3,0.0,1.109,1.099,1.094,1.094,3290.3,3290.3,3290.3,3290.3,99.7,3290.3,997.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,49,47,38,38,51,53,62,62,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,47,47,44.887,40.137,4.084,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,52,44,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.168,0.144,0.152,0.136,0.152,755,923,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.2,1.0,1.2,0.047,0.901,4109,468,0.0,5.8,5.8,0.000,0.199,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2150,89.719,94.205,114.012,1160.0,2000.0,100.0,100.0,79.0,52.0,563,78,8.0,0,0.0,26.0,1.117,11.938,7.688,66.000,0,0,26,2,1.536,5.405,0,85.750,70.125,
20.2.2017,17:49:36.297,7724,11013,41.2,6084,10221,37.3,0.0,1.110,1.111,1.109,1.103,3291.1,3291.1,3291.1,3291.1,99.7,3291.1,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,48,37,37,55,52,63,63,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,48,47,45.167,40.537,4.089,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,105,103,114,53,44,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.984,0.168,0.144,0.152,0.136,0.152,747,936,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.0,0.0,0.0,0.000,0.000,4109,468,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.113,2146,105.187,117.021,119.785,1225.0,2000.0,100.0,100.0,75.0,52.0,557,78,8.0,0,71.0,26.0,1.026,11.938,2.828,66.000,0,0,26,2,0.204,0.577,0,69.125,70.125,
20.2.2017,17:49:36.740,7724,11013,41.2,6084,10221,37.3,0.0,1.110,1.113,1.131,1.134,3290.3,3290.3,3290.3,3290.3,99.7,3290.3,997.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,48,48,37,37,52,52,63,63,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,48,47,45.150,40.526,4.065,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,106,103,114,53,44,1.120,5.080,3.408,3.360,11.808,0.168,0.848,3.408,3.216,0.976,0.168,0.144,0.152,0.136,0.152,747,936,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.1,0.7,0.8,0.018,0.600,4109,469,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2151,89.719,94.205,114.137,1160.0,2000.0,100.0,100.0,75.0,53.0,557,78,8.0,0,71.0,26.0,1.026,11.938,6.563,55.500,0,0,26,2,1.448,2.644,0,87.250,-0.250,
20.2.2017,17:49:37.175,7720,11017,41.2,6080,10225,37.2,0.0,1.114,1.130,1.131,1.111,3291.1,3291.1,3291.1,3291.1,99.7,3291.1,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,44,47,38,38,56,53,62,62,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,46,48,45.047,40.362,4.159,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,105,103,114,53,44,1.120,5.040,3.408,3.360,11.904,0.168,0.848,3.408,3.216,0.976,0.168,0.144,0.152,0.136,0.152,767,922,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.1,0.4,0.5,0.018,0.657,4109,469,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2163,91.266,95.829,114.031,1160.0,2000.0,98.0,100.0,74.0,53.0,557,78,8.0,0,71.0,24.0,1.026,11.906,6.500,56.000,0,0,26,2,1.565,3.318,0,76.000,60.188,
20.2.2017,17:49:37.613,7719,11019,41.1,6080,10226,37.2,0.0,1.125,1.103,1.111,1.106,3291.1,3291.1,3291.1,3291.1,99.7,3291.1,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33,33,33,33,33,45,47,38,37,55,53,62,63,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,47,48,44.319,39.694,4.079,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,34,108,105,103,114,53,45,1.136,5.040,3.408,3.360,11.808,0.168,0.848,3.408,3.216,0.984,0.168,0.144,0.152,0.136,0.152,767,922,33,33,No,No,47,100.0,No,No,2599,5272,35,No,No,0.1,0.0,0.2,0.027,0.055,4109,469,0.0,0.0,0.0,0.000,0.000,846,6,0.0,0.0,0.0,0.000,0.000,0,0,75,1.050,2172,88.172,92.580,113.992,1160.0,2000.0,100.0,100.0,79.0,53.0,557,78,8.0,0,71.0,26.0,1.026,11.969,6.313,59.500,0,0,26,2,1.808,0.123,0,90.000,70.625,
