Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #0 [°„C]","Core #1 [°„C]","Core #2 [°„C]","Core #3 [°„C]","Core #0 Distance to TjMAX [°„C]","Core #1 Distance to TjMAX [°„C]","Core #2 Distance to TjMAX [°„C]","Core #3 Distance to TjMAX [°„C]","Core Max [°„C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°„C]","CPU IA Cores [°„C]","CPU GT Cores (Graphics) [°„C]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","Package C2 Residency [%]","Package C3 Residency [%]","Package C6 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C6 Residency [%]","Core #1 C6 Residency [%]","Core #2 C6 Residency [%]","Core #3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","Motherboard [°„C]","Auxiliary [°„C]","SYSTIN1 [°„C]","SYSTIN2 [°„C]","SYSTIN3 [°„C]","CPU [°„C]","Vcore [V]","+12V [V]","AVCC [V]","+3.3V [V]","+5V [V]","VIN6 [V]","3VSB [V]","VBAT [V]","CPU [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°„C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°„C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°„C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°„C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Warning: Reallocated Sector Count []","Drive Temperature [°„C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°„C]","GPU Temperature (HW) [°„C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
17.2.2017,18:1:47.873,9038,6541,58.0,7291,865,89.3,6.3,1.286,1.276,1.286,1.286,3604.9,3604.9,3604.9,3604.9,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,52,50,52,54,47,49,47,45,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,48,71.582,65.248,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.6,6.67,9,9,9,24,110,1,26.0,72.5,26.5,26.5,26.5,53.0,1.264,12.384,3.392,3.376,5.120,0.344,3.424,3.360,1093,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,57.7,0.0,57.7,9.379,0.011,12635,2857,41.4,16.8,58.1,0.861,2.883,1534,16320,31,31,1.050,1550,27.079,1215.4,1752.8,996.9,11.0,8.0,0.0,2.0,10.0,10.7,41.0,27.7,21.2,409,386,78,5.0,3158,98,651.302,16.330,0,
17.2.2017,18:1:48.262,9036,6544,57.9,7290,865,89.3,6.3,1.281,1.291,1.286,1.291,3604.9,3604.9,3604.9,3604.9,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,52,51,52,53,47,48,47,46,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,48,71.602,65.325,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.6,6.67,9,9,9,24,110,1,26.0,73.0,26.5,26.5,26.5,53.0,1.264,12.288,3.392,3.376,5.080,0.352,3.424,3.360,1090,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,10.0,0.0,10.0,3.901,0.000,12637,2857,79.0,100.0,100.0,19.584,2.769,1541,16321,31,31,1.050,1573,28.247,1215.4,1752.8,996.9,7.0,6.0,0.0,2.0,9.7,9.7,41.0,27.7,22.1,398,375,74,5.0,3158,98,0.000,16.221,0,
17.2.2017,18:1:48.642,9037,6542,58.0,7291,865,89.3,6.3,1.276,1.281,1.286,1.291,3604.9,3604.9,3604.9,3604.9,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,50,50,52,54,49,49,47,45,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,49,69.858,63.674,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.6,6.67,9,9,9,24,110,1,26.0,73.0,26.5,26.5,26.5,53.0,1.264,12.288,3.392,3.376,5.120,0.344,3.424,3.360,1090,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,2.0,0.0,2.0,1.955,0.000,12637,2857,73.6,100.0,100.0,2.072,2.712,1541,16322,31,31,1.050,1554,32.183,1215.4,1752.8,996.9,14.0,10.0,0.0,4.0,9.7,13.7,41.0,29.0,24.1,398,375,74,5.0,3159,98,727.901,24.396,0,
17.2.2017,18:1:49.010,9039,6541,58.0,7297,858,89.4,6.3,1.291,1.291,1.286,1.291,3604.9,3604.9,3604.9,3604.9,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,52,51,53,53,47,48,46,46,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,49,71.343,65.124,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.6,6.67,9,9,9,24,110,1,26.0,74.0,26.5,26.5,26.5,53.0,1.256,12.288,3.392,3.376,5.120,0.352,3.424,3.360,1096,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,0.3,0.0,0.3,0.045,0.011,12637,2857,85.0,0.0,85.0,1.710,0.011,1542,16322,31,31,1.050,1565,26.508,1215.4,1752.8,996.9,14.0,10.0,0.0,4.0,10.0,14.9,41.0,26.1,20.7,398,387,78,5.0,3159,98,0.359,9.336,0,
17.2.2017,18:1:49.530,9055,6524,58.1,7311,845,89.6,6.3,1.286,1.286,1.286,1.286,3604.9,3604.9,3604.9,3604.9,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,50,49,52,54,49,50,47,45,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,49,70.969,64.718,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.6,6.67,9,9,9,24,110,1,26.0,72.5,26.5,26.5,26.5,53.0,1.256,12.288,3.392,3.376,5.120,0.352,3.424,3.360,1096,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,0.5,0.0,0.5,0.449,0.000,12638,2857,52.3,100.0,100.0,0.709,36.338,1542,16341,31,31,1.050,1550,28.915,1215.4,1752.8,996.9,12.0,10.0,0.0,2.0,9.7,14.0,41.0,28.2,22.6,398,375,74,5.0,3159,98,6.020,0.174,0,
17.2.2017,18:1:49.957,9053,6527,58.1,7310,846,89.6,6.3,1.291,1.291,1.286,1.286,3605.2,3605.2,3605.2,3605.2,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,51,50,52,53,48,49,47,46,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,49,71.290,65.016,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.7,6.67,9,9,9,24,110,1,26.0,72.5,26.5,26.5,26.5,53.0,1.264,12.288,3.392,3.376,5.120,0.352,3.424,3.360,1094,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,0.0,0.0,0.0,0.000,0.000,12638,2857,100.0,100.0,100.0,0.971,0.008,1543,16341,31,31,1.050,1552,28.053,1215.4,1752.8,996.9,11.0,8.0,0.0,4.0,10.0,9.8,41.0,27.7,21.9,410,387,78,5.0,3159,98,7.540,0.232,0,
17.2.2017,18:1:50.364,9051,6529,58.0,7309,847,89.6,6.3,1.291,1.291,1.286,1.291,3605.2,3605.2,3605.2,3605.2,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,52,52,52,52,47,47,47,47,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,48,71.475,65.149,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.7,6.67,9,9,9,24,110,1,26.0,73.0,26.5,26.5,26.5,53.0,1.264,12.288,3.392,3.376,5.120,0.336,3.424,3.360,1094,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,0.0,0.0,0.0,0.000,0.000,12638,2857,85.8,100.0,100.0,1.939,2.575,1544,16342,31,31,1.050,1564,26.423,1215.4,1752.8,996.9,7.0,6.0,0.0,2.0,9.7,9.6,41.0,26.4,20.6,398,375,74,5.0,3159,98,1.042,0.520,0,
17.2.2017,18:1:50.722,9047,6532,58.0,7300,856,89.5,6.3,1.281,1.291,1.291,1.286,3605.2,3605.2,3605.2,3605.2,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,51,51,53,52,48,48,46,47,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,52,49,71.451,65.114,0.240,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.7,6.67,9,9,9,24,110,1,26.0,73.5,26.5,26.5,26.5,52.0,1.256,12.288,3.392,3.376,5.120,0.352,3.424,3.360,1102,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,0.1,0.0,0.1,0.011,0.000,12638,2857,80.9,0.0,80.9,2.308,0.000,1544,16342,31,31,1.050,1552,26.802,1215.4,1752.8,996.9,5.0,4.0,0.0,2.0,9.7,6.8,41.0,25.2,20.9,398,375,74,5.0,3159,98,1.269,0.326,0,
17.2.2017,18:1:51.096,9045,6535,58.0,7298,858,89.4,6.3,1.291,1.291,1.291,1.286,3605.2,3605.2,3605.2,3605.2,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,51,51,53,52,48,48,46,47,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,49,71.604,65.262,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.7,6.67,9,9,9,24,110,1,26.0,72.0,26.5,26.5,26.5,53.0,1.272,12.288,3.392,3.376,5.120,0.352,3.424,3.360,1102,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,0.0,0.0,0.0,0.000,0.000,12638,2857,82.1,100.0,100.0,1.513,2.784,1545,16343,31,31,1.050,1563,25.553,1215.4,1752.8,996.9,7.0,4.0,0.0,3.0,9.7,9.9,41.0,25.8,20.0,398,375,74,5.0,3159,98,0.628,0.521,0,
17.2.2017,18:1:51.640,9040,6539,58.0,7295,861,89.4,6.3,1.286,1.291,1.286,1.286,3605.2,3605.2,3605.2,3605.2,103.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35,35,35,35,51,52,53,53,48,47,46,46,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,50,71.419,65.111,0.239,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.7,6.67,9,9,9,24,110,1,26.0,73.5,26.5,26.5,26.5,53.0,1.264,12.288,3.392,3.376,5.120,0.352,3.424,3.360,1095,No,28,95.0,No,No,36,No,No,37,No,No,35,No,Yes,5,36,No,No,12.6,0.0,12.6,11.402,0.165,12644,2857,9.2,100.0,100.0,0.187,47.436,1545,16367,31,31,1.050,1547,25.553,1215.4,1752.8,996.9,5.0,4.0,0.0,2.0,9.7,9.3,41.0,25.5,20.0,398,375,74,5.0,3161,98,3836.564,83.958,0,
