Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","T2 [°C]","VRM [°C]","Temp3 [°C]","Temp4 [°C]","Temp6 [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVCC [V]","3VCC [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","DRAM [V]","VCCSA [V]","PCH Core [V]","CPU VCCIO [V]","CPU [RPM]","Chassis2 [RPM]","Chassis3 [RPM]","Drive Airflow Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","VRM [°C]","PCH [°C]","CPU Vcc Sustain/Standby (VCCST_A) [V]","CPU PLL [V]","VCCMP [V]","CPU Current [A]","CPU Power [W]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
17.2.2017,15:30:20.266,3787,15470,19.6,3332,12982,20.4,0.0,0.782,0.777,0.785,0.788,803.5,803.5,803.5,803.5,100.4,803.5,1004.4,7.8,2.6,5.2,18.4,2.6,0.0,0.0,0.0,18.4,4.6,100.0,8,8,8,8,8,27,27,27,25,73,73,73,75,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30,27,30,13.791,2.629,0.912,11.2,1.5,4.6,19.0,2.1,1.1,2.2,0.8,0.0,0.0,0.0,0.0,86.1,75.8,96.0,96.5,1071.3,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,29,35,0.768,5.040,3.360,3.328,12.192,0.160,0.672,3.360,3.184,1.008,2.416,1.064,0.992,0.968,666,1119,799,36,99.0,No,No,340,32,32,No,No,0.0,0.1,0.1,0.000,0.155,2269,309,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.150,0.247,1.000,0.768,32,32,0.625,0,7.778,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,0.9,0.0,4.3,5.2,303,236,32,2.5,16,2,1.042,1.580,0,
17.2.2017,15:30:20.783,3791,15467,19.6,3332,12982,20.4,0.0,0.777,0.776,0.781,0.783,804.5,804.5,804.5,804.5,100.6,804.5,1005.6,5.4,8.1,8.1,10.8,8.1,2.7,2.7,2.7,10.8,6.1,100.0,8,8,8,8,8,27,28,26,25,73,72,74,75,28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,28,29,15.921,4.760,0.968,12.8,12.4,6.5,11.0,8.4,2.6,6.0,2.6,0.0,0.0,0.0,1.6,77.8,81.7,87.7,86.9,1072.7,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,30,35,1.088,5.040,3.360,3.312,12.192,0.160,0.672,3.360,3.184,1.008,2.416,1.064,0.992,0.960,666,1106,801,36,99.0,No,No,340,32,32,No,No,0.3,3.2,3.4,0.380,1.362,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.153,0.241,1.000,1.088,32,32,0.625,0,7.781,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,2.8,0.0,6.5,5.5,300,233,32,2.5,16,2,0.301,0.121,0,
17.2.2017,15:30:21.368,3788,15470,19.6,3332,12982,20.4,0.0,0.788,0.789,0.787,0.779,804.3,804.3,804.3,804.3,100.5,804.3,1005.4,5.8,0.0,5.8,11.7,2.9,0.0,2.9,0.0,11.7,3.6,100.0,8,8,8,8,8,27,27,26,25,73,73,74,75,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,28,29,15.746,4.565,0.921,14.5,2.9,8.7,12.6,7.2,1.3,3.9,1.6,0.8,1.9,1.2,1.1,79.3,76.4,89.7,92.0,1072.4,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,30,37,0.768,5.040,3.360,3.312,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,682,1122,802,36,99.0,No,No,340,32,32,No,No,0.0,0.0,0.0,0.000,0.000,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.159,0.250,2.000,1.536,32,32,0.625,0,6.135,240.0,202.5,544.0,4.0,5.0,0.0,0.0,3.7,2.9,0.0,5.0,5.0,301,234,32,2.5,16,2,0.000,0.000,0,
17.2.2017,15:30:21.952,3790,15468,19.6,3332,12982,20.4,0.0,0.784,0.778,0.783,0.786,803.9,803.9,803.9,803.9,100.5,803.9,1004.9,19.4,2.7,11.1,8.3,5.5,2.7,8.3,2.7,19.4,7.6,100.0,8,8,8,8,8,27,28,27,26,73,72,73,74,28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30,28,30,14.416,3.252,0.959,16.3,5.4,14.4,8.4,7.8,5.0,6.1,3.0,3.0,1.0,2.0,0.9,73.9,73.7,83.2,86.9,1071.9,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,29,37,0.912,5.040,3.360,3.312,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.960,698,1122,802,36,99.0,No,No,340,32,32,No,No,0.0,0.1,0.1,0.000,0.259,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.153,0.253,1.000,0.912,32,32,0.625,0,6.135,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,0.7,0.0,5.1,5.3,301,234,32,2.5,16,2,0.528,0.210,0,
17.2.2017,15:30:22.559,3790,15468,19.6,3331,12982,20.4,0.0,0.780,0.788,0.788,0.786,803.7,803.7,803.7,803.7,100.5,803.7,1004.6,7.6,0.0,0.0,12.8,2.5,0.0,0.0,0.0,12.8,2.9,100.0,8,8,8,8,8,27,27,27,25,73,73,73,75,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,27,29,14.444,3.280,0.908,11.9,1.2,2.2,14.2,2.9,1.6,2.3,1.0,0.0,0.0,0.6,0.6,86.3,82.6,94.4,95.1,1071.6,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,29,35,0.768,5.040,3.360,3.312,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,698,1119,807,36,99.0,No,No,340,32,32,No,No,0.0,0.3,0.3,0.000,0.155,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.153,0.244,1.000,0.768,32,32,0.625,0,6.036,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,0.5,0.0,5.1,5.4,301,234,32,2.5,16,2,0.000,0.000,0,
17.2.2017,15:30:23.152,3790,15468,19.6,3331,12982,20.4,0.0,0.776,0.786,0.778,0.786,803.7,803.7,803.7,803.7,100.5,803.7,1004.6,10.2,2.6,13.1,5.2,2.6,0.0,0.0,0.0,13.1,4.2,100.0,8,8,8,8,8,27,27,26,25,73,73,74,75,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,28,29,14.641,3.481,0.916,11.4,1.7,13.8,6.7,4.5,0.8,2.3,1.3,0.0,0.0,0.0,0.0,86.3,79.3,94.2,95.1,1071.6,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,30,35,0.768,5.040,3.360,3.312,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,697,1119,806,36,99.0,No,No,340,32,32,No,No,0.0,0.0,0.0,0.000,0.000,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.156,0.247,1.000,0.768,32,32,0.625,0,7.490,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,1.0,0.0,4.6,5.0,301,234,32,2.5,16,2,0.000,0.000,0,
17.2.2017,15:30:23.721,3806,15451,19.7,3342,12971,20.4,0.0,0.804,0.798,0.805,0.799,1105.4,1105.4,1105.4,1105.4,100.5,1105.4,1004.9,18.9,5.2,0.0,10.5,10.5,0.0,5.4,2.6,18.9,6.6,100.0,11,11,11,11,11,27,28,27,26,73,72,73,74,28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30,28,30,15.389,4.205,0.981,13.8,5.7,5.9,17.1,13.5,2.0,13.1,3.2,1.5,2.0,6.7,2.4,76.1,71.6,72.1,71.9,1071.9,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,29,35,0.960,5.040,3.360,3.328,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,690,1121,806,36,99.0,No,No,340,32,32,No,No,0.0,0.0,0.0,0.000,0.031,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.156,0.256,1.000,0.960,32,32,0.625,0,6.571,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,3.5,0.0,5.0,5.4,300,233,32,2.5,16,2,0.000,0.000,0,
17.2.2017,15:30:24.321,3802,15455,19.7,3343,12971,20.4,0.0,0.774,0.779,0.786,0.784,803.7,803.7,803.7,803.7,100.5,803.7,1004.6,10.8,0.0,5.4,13.5,5.4,0.0,13.5,0.0,13.5,6.1,100.0,8,8,8,8,8,27,27,27,25,73,73,73,75,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30,27,30,15.005,3.843,0.946,14.7,5.9,8.1,18.6,10.2,2.1,10.8,0.9,6.0,4.5,1.2,3.1,66.0,61.8,78.6,79.2,1071.6,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,30,35,0.768,5.040,3.360,3.312,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,690,1121,811,36,99.0,No,No,340,32,32,No,No,0.0,0.0,0.0,0.000,0.000,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.159,0.247,4.000,3.072,32,32,0.625,0,6.135,240.0,202.5,544.0,1.0,2.0,0.0,0.0,3.7,1.5,0.0,4.8,5.3,300,233,32,2.5,16,2,0.000,0.000,0,
17.2.2017,15:30:24.922,3807,15451,19.7,3342,12971,20.4,0.0,0.777,0.776,0.781,0.788,804.1,804.1,804.1,804.1,100.5,804.1,1005.1,10.5,10.5,10.5,7.8,2.6,0.0,5.2,2.6,10.5,6.2,100.0,8,8,8,8,8,27,28,26,25,73,72,74,75,28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,27,29,14.537,3.380,0.931,12.1,10.9,12.5,8.4,6.4,1.4,4.9,1.1,8.8,0.5,0.0,0.0,70.4,76.9,91.5,90.3,1072.1,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,29,34,0.768,5.040,3.360,3.328,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,682,1116,801,36,99.0,No,No,340,32,32,No,No,0.0,0.1,0.1,0.000,0.163,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.153,0.250,2.000,1.536,32,32,0.625,0,6.135,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,0.5,0.0,4.8,5.4,300,233,32,2.5,16,2,0.000,0.214,0,
17.2.2017,15:30:25.500,3806,15451,19.7,3343,12971,20.4,0.0,0.799,0.796,0.781,0.788,1004.6,1004.6,803.7,803.7,100.5,1004.6,1004.6,10.2,0.0,10.2,15.3,0.0,2.5,7.6,0.0,15.3,5.7,100.0,10,10,8,8,10,28,28,26,24,72,72,74,76,28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,27,29,14.626,3.455,0.918,11.6,2.6,9.3,14.1,5.2,1.3,9.4,2.4,6.5,1.5,1.9,3.1,73.9,72.7,89.5,76.3,1071.6,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28,35,44,15,22,28,29,34,0.784,5.040,3.360,3.328,12.192,0.160,0.680,3.360,3.184,1.008,2.416,1.064,0.992,0.968,679,1119,805,36,99.0,No,No,340,32,32,No,No,0.0,0.0,0.0,0.000,0.000,2269,310,0.0,0.0,0.0,0.000,0.000,3,0,44.0,37.0,0.981,0.156,0.250,2.000,1.568,32,32,0.625,0,7.490,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.7,1.6,0.0,4.7,5.0,300,233,32,2.5,16,2,0.276,0.501,0,
