Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","Total DRAM Power [W]","GPU Clock [MHz]","GPU D3D Usage [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","Package C2 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Graphics Driver [Yes/No]","IA: Autonomous Utilization-Based Frequency Control [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Domain-Level PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: Graphics Driver [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Domain-Level PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Temperature 1 [°C]","Temperature 2 [°C]","Temperature 3 [°C]","Vcore [V]","Vccp2 [V]","+3.3V [V]","+5V [V]","VIN6 [V]","5VSB [V]","VBAT [V]","Power [RPM]","Fan5 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","iGPU VID [V]",
17.2.2017,16:41:44.245,5341,7947,40.1,3735,2323,61.6,3.0,1.015,0.958,1.017,1.015,3093.2,3093.2,3093.2,3093.2,99.8,3093.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,43,45,44,44,57,55,56,56,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,45,38,37.391,31.573,0.067,3.744,598.7,3.0,0,198,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,38,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1486,1146,No,32,32,No,No,26.1,3.0,29.0,0.193,0.024,239002,192162,1016,622,0.977,0.000,0,0.000,
17.2.2017,16:41:46.395,5329,7960,40.1,3723,2334,61.4,3.0,1.015,1.012,1.012,1.015,3093.2,3093.2,3093.2,3093.2,99.8,3093.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,46,47,47,45,54,53,53,55,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,48,39,37.492,31.740,0.065,3.752,598.7,0.5,0,198,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,38,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1483,1144,No,32,32,No,No,1.0,3.2,4.2,0.003,0.152,239002,192163,1016,622,0.361,0.000,0,0.000,
17.2.2017,16:41:48.537,5329,7960,40.1,3723,2335,61.4,3.0,0.961,1.012,1.012,1.015,3093.3,3093.3,3093.3,3093.3,99.8,3093.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,45,48,47,46,55,52,53,54,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,48,39,37.547,31.903,0.014,3.770,598.7,0.5,0,198,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.3,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,39,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1486,1144,No,32,32,No,No,1.9,3.6,5.6,0.065,0.091,239002,192163,1016,622,0.736,0.174,0,0.000,
17.2.2017,16:41:50.680,5331,7958,40.1,3725,2332,61.4,3.0,1.015,0.958,1.012,1.015,3093.3,3093.3,3093.3,3093.3,99.8,3093.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,47,47,48,45,53,53,52,55,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,49,39,37.628,31.766,0.164,3.766,598.7,4.6,0,198,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.3,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,38,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1506,1155,No,32,32,No,No,0.0,0.0,0.0,0.000,0.001,239002,192163,1016,622,0.565,0.000,0,0.000,
17.2.2017,16:41:52.805,5328,7960,40.0,3724,2333,61.4,3.0,1.015,1.012,1.012,1.015,3093.2,3093.2,3093.2,3093.2,99.8,3093.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,46,48,49,48,54,52,51,52,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,49,39,37.702,31.965,0.043,3.768,598.7,1.3,0,198,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,39,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1510,1159,No,32,32,No,No,0.6,0.0,0.6,0.003,0.001,239002,192163,1016,622,0.758,0.232,0,0.000,
17.2.2017,16:41:54.948,5329,7960,40.1,3726,2331,61.5,2.9,0.956,1.012,1.012,1.015,3093.2,3093.2,3093.2,3093.2,99.8,3093.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,48,48,50,46,52,52,50,54,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,49,39,37.984,32.204,0.019,3.755,598.7,0.6,0,198,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,39,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1527,1171,No,32,32,No,No,35.4,0.0,35.4,1.773,0.000,239006,192163,1016,622,2.301,0.199,0,0.000,
17.2.2017,16:41:57.073,5323,7966,40.0,3720,2337,61.4,2.9,1.015,0.958,1.012,1.015,3093.5,3093.5,3093.5,3093.5,99.8,3093.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,47,49,50,46,53,51,50,54,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,50,39,38.214,32.390,0.018,3.749,598.7,0.5,0,188,0.0,99.1,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.3,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,39,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1548,1201,No,32,32,No,No,0.0,2.2,2.2,0.000,0.040,239006,192163,1016,622,0.527,0.025,0,0.000,
17.2.2017,16:41:59.206,5322,7967,40.0,3720,2337,61.4,2.9,0.956,1.012,1.012,1.015,3093.5,3093.5,3093.5,3093.5,99.8,3093.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,48,48,49,49,52,52,51,51,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,50,40,37.973,32.246,0.035,3.766,598.7,1.0,0,188,0.0,99.1,99.1,99.1,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.3,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,40,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1555,1209,No,32,32,No,No,0.1,0.0,0.1,0.005,0.001,239006,192163,1016,622,0.849,0.079,0,0.000,
17.2.2017,16:42:1.373,5321,7967,40.0,3720,2338,61.4,2.9,0.956,1.012,1.012,0.956,3093.1,3093.1,3093.1,3093.1,99.8,3093.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,47,49,51,49,53,51,49,51,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,50,41,37.825,32.182,0.009,3.776,598.7,0.3,0,188,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,39,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1551,1209,No,32,32,No,No,0.0,0.6,0.6,0.000,0.194,239006,192163,1016,622,0.499,0.065,0,0.000,
17.2.2017,16:42:3.523,5321,7967,40.0,3720,2337,61.4,2.9,1.015,1.012,0.954,1.015,3093.1,3093.1,3093.1,3093.1,99.8,3093.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,48,49,50,47,52,51,50,53,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,51,41,37.867,32.230,0.010,3.777,598.7,0.3,0,188,0.0,99.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,208,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26,40,-67,2.220,2.220,1.992,3.347,1.932,2.762,1.596,1551,1209,No,32,32,No,No,1.1,0.0,1.2,0.011,0.020,239006,192164,1016,622,0.899,0.000,0,0.000,
