Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","Total DRAM Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","GPU D3D Usage [%]","GPU D3D Memory Dynamic [MB]","Current cTDP Level []","Package C2 Residency [%]","Package C3 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","PCH Temperature [°C]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Battery Voltage [V]","Remaining Capacity [Wh]","Charge Level [%]","Charge Rate [W]","Wear Level [%]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Total Errors []","iGPU VID [V]","GPU Clock [MHz]",
17.2.2017,21:55:29.941,6620,2761,70.5,5613,2489,69.2,2.5,1.125,1.119,1.128,1.111,3091.7,3091.7,3091.7,3091.7,99.7,3091.7,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,79,78,76,77,21,22,24,23,79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,80,80,74,36.433,30.051,1.221,1.740,45.000,56.250,15.6,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,55.5,35,No,No,37,No,No,0.1,1.7,1.9,0.013,0.067,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.075,1097.1,1252.8,988.2,97.0,79.0,0.0,1.0,3.9,98.3,80,54,31,8.0,11.705,37.141,90.3,686.200,4.8,999,53,0.312,0.560,0,0,0,0.000,0.0,
17.2.2017,21:55:32.140,6622,2759,70.5,5613,2489,69.2,2.5,1.121,1.117,1.120,1.123,3090.9,3090.9,3090.9,3090.9,99.7,3090.9,997.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,79,78,77,77,21,22,23,23,79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,75,36.500,29.861,1.476,1.743,45.000,56.250,19.5,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1063.5,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,55.5,35,No,No,37,No,No,0.0,2.5,2.5,0.000,0.100,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,75,75,1.081,1110.6,1252.8,999.8,96.0,80.0,0.0,1.0,3.9,98.7,80,54,31,8.0,11.708,37.141,90.3,686.232,4.8,999,53,0.000,0.000,0,0,0,1.080,997.1,
17.2.2017,21:55:34.356,6625,2757,70.6,5620,2482,69.3,2.5,1.116,1.116,1.121,1.122,3094.7,3094.7,3094.7,3094.7,99.8,3094.7,998.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,79,77,76,78,21,23,24,22,79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,80,80,75,36.991,29.553,2.258,1.751,45.000,56.250,31.0,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1064.8,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.0,0.8,0.8,0.000,0.090,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.075,1097.1,1252.8,988.2,96.0,80.0,0.0,1.0,3.9,98.0,80,54,31,8.0,11.703,37.120,90.2,685.973,4.8,999,53,0.000,0.000,0,0,0,0.000,0.0,
17.2.2017,21:55:36.562,6625,2757,70.6,5620,2482,69.3,2.5,1.115,1.122,1.121,1.119,3094.0,3094.0,3094.0,3094.0,99.8,3094.0,998.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,80,79,77,78,20,21,23,22,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,74,36.746,29.945,1.639,1.745,45.000,56.250,23.7,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1064.6,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,55.5,35,No,No,37,No,No,0.0,0.1,0.1,0.000,0.004,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.075,1097.1,1252.8,988.2,96.0,79.0,0.0,1.0,3.9,97.4,80,54,31,8.0,11.702,37.109,90.2,685.897,4.8,999,53,2.480,0.088,0,0,0,0.000,0.0,
17.2.2017,21:55:38.769,6617,2764,70.5,5613,2489,69.2,2.5,1.121,1.117,1.123,1.114,3095.5,3095.5,3095.5,3095.5,99.9,3095.5,998.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,79,78,77,78,21,22,23,22,79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,75,36.844,29.984,1.699,1.743,45.000,56.250,23.5,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1065.1,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.0,0.1,0.1,0.000,0.051,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.075,1097.1,1252.8,988.2,97.0,80.0,0.0,1.0,3.9,98.3,80,54,31,8.0,11.692,37.098,90.2,685.595,4.8,999,53,0.279,0.400,0,0,0,0.000,0.0,
17.2.2017,21:55:40.979,6623,2759,70.5,5613,2489,69.2,2.5,1.122,1.123,1.119,1.126,3092.4,3092.4,3092.4,3092.4,99.8,3092.4,997.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,79,78,77,78,21,22,23,22,79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,75,36.858,30.022,1.659,1.746,45.000,56.250,23.8,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1064.1,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.0,0.1,0.1,0.000,0.002,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.081,1110.6,1252.8,999.8,95.0,79.0,0.0,1.0,3.9,98.2,80,54,31,8.0,11.694,37.076,90.1,685.638,4.8,999,53,0.358,0.673,0,0,0,0.000,0.0,
17.2.2017,21:55:43.181,6622,2759,70.5,5613,2489,69.2,2.5,1.123,1.125,1.120,1.115,3091.7,3091.7,3091.7,3091.7,99.7,3091.7,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,80,78,76,78,20,22,24,22,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,80,80,75,36.888,30.028,1.671,1.745,45.000,56.250,23.6,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.0,0.1,0.1,0.000,0.002,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.075,1097.1,1252.8,988.2,97.0,80.0,0.0,1.0,3.9,97.4,80,54,31,8.0,11.691,37.066,90.1,685.994,4.8,999,53,0.000,0.000,0,0,0,0.000,0.0,
17.2.2017,21:55:45.392,6623,2759,70.5,5613,2489,69.2,2.5,1.118,1.115,1.116,1.127,3093.2,3093.2,3093.2,3093.2,99.8,3093.2,997.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,79,77,77,78,21,23,23,22,79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,80,80,75,36.860,30.014,1.682,1.744,45.000,56.250,23.6,151,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1064.3,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.0,0.1,0.1,0.000,0.026,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.062,1084.5,1252.8,975.7,95.0,76.0,0.0,1.0,3.9,98.1,80,54,31,2.5,11.692,37.055,90.1,685.357,4.8,999,53,0.144,0.207,0,0,0,1.080,997.8,
17.2.2017,21:55:47.591,6625,2757,70.6,5550,2551,68.5,2.5,1.116,1.124,1.124,1.121,3088.7,3088.7,3088.7,3088.7,99.6,3088.7,996.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,80,79,76,78,20,21,24,22,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,80,80,76,36.824,29.996,1.644,1.747,45.000,56.250,23.3,146,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1062.8,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.0,0.0,0.0,0.000,0.006,5479,9265,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.062,1084.5,1252.8,975.7,97.0,79.0,0.0,1.0,3.9,99.2,80,54,31,8.0,11.697,37.044,90.0,685.757,4.8,999,53,0.000,0.215,0,0,0,0.000,0.0,
17.2.2017,21:55:49.803,6624,2758,70.6,5526,2575,68.2,2.5,1.118,1.128,1.121,1.122,3091.7,3091.7,3091.7,3091.7,99.7,3091.7,997.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31,31,31,31,31,80,79,77,78,20,21,23,22,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,80,79,75,36.855,30.029,1.647,1.745,45.000,56.250,23.0,146,0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1063.8,10.67,15,15,15,36,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,56.0,35,No,No,37,No,No,0.1,0.3,0.3,0.009,0.152,5479,9266,0.0,0.0,0.0,0.000,0.000,1167,83,76,76,1.075,1097.1,1252.8,988.2,97.0,79.0,0.0,1.0,3.9,98.1,80,54,31,8.0,11.677,37.012,89.9,685.886,4.8,999,53,0.048,0.215,0,0,0,0.000,0.0,
