Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring Clock [MHz]","System Agent Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","T2 [°C]","VRM [°C]","Temp3 [°C]","Temp4 [°C]","Temp6 [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVCC [V]","3VCC [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","DRAM [V]","VCCSA [V]","PCH Core [V]","CPU VCCIO [V]","CPU [RPM]","Chassis2 [RPM]","Chassis3 [RPM]","Drive Airflow Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","VRM [°C]","PCH [°C]","CPU Vcc Sustain/Standby (VCCST_A) [V]","CPU PLL [V]","VCCMP [V]","CPU Current [A]","CPU Power [W]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
17.2.2017,15:21:39.352,5382,13876,27.9,4896,11418,30.0,0.0,1.285,1.316,1.307,1.293,4020.5,4020.5,4020.5,4020.5,100.5,4020.5,1005.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,59,60,57,55,41,40,43,45,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,42,83.449,70.998,4.459,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.1,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,40,46,15,22,27,59,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.416,1.072,0.992,0.968,914,1246,906,35,99.0,No,No,340,31,31,No,No,0.0,0.0,0.1,0.056,0.014,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,46.0,36.0,0.981,0.906,1.013,54.000,72.576,33,33,0.625,0,6.661,240.0,202.5,544.0,3.0,4.0,0.0,0.0,3.6,2.6,0.0,5.1,5.3,294,227,30,2.5,11,1,0.105,0.301,0,
17.2.2017,15:21:39.940,5379,13879,27.9,4896,11418,30.0,0.0,1.295,1.293,1.298,1.305,4017.6,4017.6,4017.6,4017.6,100.4,4017.6,1004.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,62,59,55,54,38,41,45,46,62,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,42,84.000,71.481,4.466,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.3,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,40,46,15,22,27,59,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.416,1.072,0.992,0.968,913,1250,904,35,99.0,No,No,340,31,31,No,No,0.0,0.0,0.0,0.000,0.061,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,46.0,36.0,0.981,0.925,0.956,58.000,77.952,33,33,0.625,0,6.319,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.6,3.9,0.0,5.0,5.4,292,225,30,2.5,11,1,7.985,0.326,0,
17.2.2017,15:21:40.534,5379,13879,27.9,4896,11418,30.0,0.0,1.289,1.295,1.306,1.289,4019.5,4019.5,4019.5,4019.5,100.5,4019.5,1004.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,60,58,58,55,40,42,42,45,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,42,84.009,71.458,4.468,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.9,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,40,46,15,22,27,59,48,1.344,5.040,3.360,3.312,12.192,0.160,0.640,3.360,3.184,1.008,2.416,1.072,0.992,0.968,917,1251,904,35,99.0,No,No,340,31,31,No,No,0.0,5.1,5.1,0.000,0.132,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,46.0,36.0,0.981,0.869,0.994,58.000,77.952,33,33,0.625,0,7.480,240.0,202.5,544.0,1.0,3.0,0.0,0.0,3.6,2.0,0.0,5.3,5.0,292,225,29,2.5,11,1,8.340,0.773,0,
17.2.2017,15:21:41.031,5385,13873,27.9,4896,11417,30.0,0.0,1.288,1.305,1.287,1.278,4018.6,4018.6,4018.6,4018.6,100.5,4018.6,1004.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,58,59,53,54,42,41,47,46,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,42,83.533,70.931,4.471,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.6,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,46,15,22,27,59,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.344,3.184,1.000,2.400,1.072,0.992,0.968,917,1251,912,35,99.0,No,No,340,32,32,No,No,0.0,0.0,0.0,0.000,0.000,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,46.0,36.0,0.981,0.897,0.972,58.000,77.952,33,33,0.625,0,6.564,240.0,202.5,544.0,0.0,2.0,0.0,0.0,3.5,7.1,0.0,5.1,5.0,290,223,29,2.5,11,1,0.000,0.000,0,
17.2.2017,15:21:41.531,5385,13873,27.9,4896,11418,30.0,0.0,1.286,1.285,1.295,1.276,4018.6,4018.6,4018.6,4018.6,100.5,4018.6,1004.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,57,59,53,55,43,41,47,45,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,43,83.123,70.664,4.466,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.6,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,47,15,22,27,59,47,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.416,1.072,0.992,0.968,918,1245,909,35,99.0,No,No,340,31,31,No,No,0.0,0.1,0.1,0.000,0.082,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,46.0,36.0,0.981,0.878,0.966,56.000,75.264,33,33,0.625,0,7.383,240.0,202.5,544.0,2.0,3.0,0.0,0.0,3.5,2.6,0.0,5.6,5.1,290,223,29,2.5,11,1,9.746,1.246,0,
17.2.2017,15:21:42.023,5386,13872,27.9,4896,11417,30.0,0.0,1.275,1.293,1.294,1.308,4019.5,4019.5,4019.5,4019.5,100.5,4019.5,1004.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,56,59,56,56,44,41,44,44,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,43,82.605,70.107,4.475,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.9,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,47,15,22,27,58,47,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.000,2.400,1.072,0.992,0.968,918,1245,909,35,99.0,No,No,340,31,31,No,No,0.0,0.0,0.0,0.000,0.000,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,47.0,36.0,0.981,0.872,0.972,56.000,75.264,33,33,0.625,0,7.480,240.0,202.5,544.0,6.0,4.0,0.0,1.0,3.5,8.6,0.0,5.9,5.0,290,223,30,2.5,11,1,0.648,0.387,0,
17.2.2017,15:21:42.534,5402,13856,28.0,4914,11400,30.1,0.0,1.301,1.311,1.293,1.292,4017.6,4017.6,4017.6,4017.6,100.4,4017.6,1004.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,57,57,57,55,43,43,43,45,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,43,83.173,70.654,4.470,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.3,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,47,15,22,27,58,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.400,1.072,0.992,0.968,914,1247,910,35,99.0,No,No,340,31,31,No,No,0.0,0.0,0.0,0.033,0.000,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,47.0,36.0,0.981,0.881,0.984,50.000,67.200,33,33,0.625,0,8.207,240.0,202.5,544.0,6.0,4.0,0.0,1.0,3.6,17.5,0.0,6.2,5.2,298,231,30,2.5,11,1,10.068,1.259,0,
17.2.2017,15:21:43.024,5422,13836,28.1,4930,11384,30.2,0.0,1.301,1.291,1.303,1.294,4020.5,4020.5,4020.5,4020.5,100.5,4020.5,1005.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,57,58,53,55,43,42,47,45,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,43,82.800,70.317,4.446,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.1,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,47,15,22,27,58,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.400,1.072,0.992,0.968,910,1250,906,35,99.0,No,No,340,31,31,No,No,0.0,0.1,0.1,0.000,0.079,2144,220,0.0,0.0,0.0,0.000,0.000,3,0,47.0,36.0,0.981,0.903,0.966,50.000,67.200,33,33,0.625,0,7.674,240.0,202.5,544.0,7.0,5.0,0.0,1.0,3.5,11.4,0.0,5.3,5.1,290,223,30,2.5,11,1,10.111,0.886,0,
17.2.2017,15:21:43.525,5422,13836,28.1,4930,11383,30.2,0.0,1.308,1.290,1.288,1.284,4019.5,4019.5,4019.5,4019.5,100.5,4019.5,1004.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,58,58,53,55,42,42,47,45,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,42,83.178,70.634,4.473,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.9,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,47,15,22,27,58,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.416,1.072,0.992,0.968,910,1250,906,35,99.0,No,No,340,31,31,No,No,0.0,0.1,0.1,0.000,0.158,2144,221,0.0,0.0,0.0,0.000,0.000,3,0,47.0,36.0,0.981,0.884,0.956,54.000,72.576,33,33,0.625,0,7.383,240.0,202.5,544.0,11.0,8.0,0.0,3.0,3.5,100.0,0.0,5.9,5.4,289,222,32,2.5,11,1,19.863,1.166,0,
17.2.2017,15:21:44.074,5414,13844,28.1,4922,11391,30.1,0.0,1.295,1.307,1.288,1.288,4020.5,4020.5,4020.5,4020.5,100.5,4020.5,1005.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,40,40,40,40,59,58,55,54,41,42,45,46,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,43,82.113,69.631,4.458,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.1,10.67,14,14,14,35,278,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27,41,47,15,22,27,58,48,1.344,5.040,3.360,3.312,12.096,0.160,0.640,3.360,3.184,1.008,2.400,1.072,0.992,0.968,907,1245,907,35,99.0,No,No,340,31,31,No,No,0.0,0.4,0.4,0.000,0.544,2144,221,0.0,0.0,0.0,0.000,0.000,3,0,47.0,36.0,0.981,0.988,0.953,54.000,72.576,33,33,0.625,0,6.754,240.0,202.5,544.0,1.0,2.0,0.0,0.0,3.5,6.6,0.0,5.1,5.1,289,222,32,2.5,11,1,0.525,0.229,0,
